13400.00, -13400.00, 342.44, -373.43
13500.00, -13500.00, 298.97, -350.83
13600.00, -13600.00, 295.14, -356.10
13700.00, -13700.00, 348.31, -359.44
13800.00, -13800.00, 368.36, -371.90
13900.00, -13900.00, 290.67, -351.22
14000.00, -14000.00, 314.33, -320.40
14100.00, -14100.00, 306.02, -352.65
14200.00, -14200.00, 368.64, -378.65
14300.00, -14300.00, 320.13, -309.65
14400.00, -14400.00, 368.18, -338.70
14500.00, -14500.00, 351.47, -386.79
14600.00, -14600.00, 369.12, -380.10
14700.00, -14700.00, 354.52, -372.59
14800.00, -14800.00, 375.47, -401.36
14900.00, -14900.00, 320.88, -381.98
15000.00, -15000.00, 391.37, -347.98
15100.00, -15100.00, 368.14, -343.18
15200.00, -15200.00, 382.35, -405.63
15300.00, -15300.00, 325.87, -409.14
15400.00, -15400.00, 321.31, -381.47
15500.00, -15500.00, 387.28, -401.84
15600.00, -15600.00, 330.65, -400.50
15700.00, -15700.00, 399.19, -418.24
15800.00, -15800.00, 399.06, -364.45
15900.00, -15900.00, 394.94, -372.94
16000.00, -16000.00, 388.06, -400.98
16100.00, -16100.00, 392.58, -421.99
16200.00, -16200.00, 388.11, -407.29
16300.00, -16300.00, 401.01, -371.98
16400.00, -16400.00, 394.73, -359.57
16500.00, -16500.00, 390.63, -405.60
16600.00, -16600.00, 406.01, -426.05
16700.00, -16700.00, 336.20, -407.23
16800.00, -16800.00, 353.11, -441.52
16900.00, -16900.00, 399.26, -412.88
17000.00, -17000.00, 418.28, -437.64
17100.00, -17100.00, 396.48, -412.82
17200.00, -17200.00, 410.32, -419.06
17300.00, -17300.00, 364.64, -436.51
17400.00, -17400.00, 352.92, -418.43
17500.00, -17500.00, 380.35, -448.79
17600.00, -17600.00, 349.41, -426.24
17700.00, -17700.00, 422.96, -447.15
17800.00, -17800.00, -299.33, -449.13
17900.00, -17900.00, 375.50, -453.66
18000.00, -18000.00, 425.21, -448.97
18100.00, -18100.00, 370.80, -462.68
18200.00, -18200.00, 396.38, -453.18
18300.00, -18300.00, 423.39, -438.06
18400.00, -18400.00, 443.21, -393.76
18500.00, -18500.00, 428.67, -395.81
18600.00, -18600.00, 427.06, -444.05
18700.00, -18700.00, 440.20, -467.46
18800.00, -18800.00, 445.18, -470.84
18900.00, -18900.00, 454.18, -461.02
19000.00, -19000.00, 446.14, -467.14
19100.00, -19100.00, 446.68, -475.84
19200.00, -19200.00, 469.15, -484.48
19300.00, -19300.00, 437.28, -436.23
19400.00, -19400.00, 444.53, -421.97
19500.00, -19500.00, 461.27, -427.24
19600.00, -19600.00, 436.14, -474.70
19700.00, -19700.00, 459.84, -413.15
19800.00, -19800.00, 393.39, -475.40
19900.00, -19900.00, 366.53, -446.77
20000.00, -20000.00, 462.49, -482.05
20100.00, -20100.00, 446.31, -482.01
20200.00, -20200.00, -36.97, -474.20
20300.00, -20300.00, 461.67, -486.25
20400.00, -20400.00, 405.51, -480.61
20500.00, -20500.00, 480.14, -464.58
20600.00, -20600.00, 471.24, -493.31
20700.00, -20700.00, 568.32, -503.34
20800.00, -20800.00, 488.71, -507.33
20900.00, -20900.00, 470.03, -429.66
21000.00, -21000.00, 466.45, -424.89
21100.00, -21100.00, 432.82, -442.46
21200.00, -21200.00, 470.63, -489.45
21300.00, -21300.00, 477.37, -428.34
21400.00, -21400.00, 430.27, -446.17
21500.00, -21500.00, 418.96, -501.41
21600.00, -21600.00, 417.19, -502.79
21700.00, -21700.00, 503.41, -453.77
21800.00, -21800.00, 427.58, -500.69
21900.00, -21900.00, 422.75, -507.21
22000.00, -22000.00, 487.77, -495.41
22100.00, -22100.00, 404.76, -526.61
22200.00, -22200.00, 481.91, -509.07
22300.00, -22300.00, 427.73, -526.41
22400.00, -22400.00, 483.02, -510.22
22500.00, -22500.00, 525.56, -518.65
22600.00, -22600.00, 44.74, -439.31
22700.00, -22700.00, 505.67, -446.09
22800.00, -22800.00, 500.76, -513.01
22900.00, -22900.00, 495.38, -459.25
23000.00, -23000.00, 506.39, -518.70
23100.00, -23100.00, 453.07, -519.60
23200.00, -23200.00, -42.43, -531.15
23300.00, -23300.00, 457.94, -535.37
23400.00, -23400.00, 426.49, -534.95
23500.00, -23500.00, 438.62, -534.95
23600.00, -23600.00, 445.37, -512.96
23700.00, -23700.00, 44.82, -541.52
23800.00, -23800.00, -39.55, -508.99
23900.00, -23900.00, 514.91, -539.75
24000.00, -24000.00, 517.84, -541.14
24100.00, -24100.00, 522.93, -534.95
24200.00, -24200.00, 510.43, -478.37
24300.00, -24300.00, 527.41, -567.88
24400.00, -24400.00, 467.86, -542.77
24500.00, -24500.00, 503.07, -553.10
24600.00, -24600.00, 472.14, -572.34
24700.00, -24700.00, -41.74, -481.27
24800.00, -24800.00, 527.36, -559.61
24900.00, -24900.00, 519.86, -566.30
25000.00, -25000.00, 522.43, -554.81
25100.00, -25100.00, 520.19, -568.62
25200.00, -25200.00, -43.10, -544.17
25300.00, -25300.00, -42.41, -502.09
25400.00, -25400.00, 519.55, -491.34
25500.00, -25500.00, 468.99, -549.26
25600.00, -25600.00, 468.88, -550.92
25700.00, -25700.00, -45.15, -486.11
25800.00, -25800.00, 46.28, -569.14
25900.00, -25900.00, 458.62, -568.48
26000.00, -26000.00, 498.66, -573.57
26100.00, -26100.00, -45.84, -575.37
26200.00, -26200.00, 484.84, -584.88
26300.00, -26300.00, 547.41, -535.50
26400.00, -26400.00, -1575.09, -505.61
26500.00, -26500.00, 551.22, -596.35
26600.00, -26600.00, 490.07, -571.86
26700.00, -26700.00, 541.02, -590.64
26800.00, -26800.00, 458.58, -564.81
26900.00, -26900.00, 554.66, -499.78
27000.00, -27000.00, 565.26, -599.79
27100.00, -27100.00, 567.28, -584.86
27200.00, -27200.00, 495.41, -586.28
27300.00, -27300.00, 480.50, -505.50
27400.00, -27400.00, 492.03, -597.24
27500.00, -27500.00, 574.15, -564.45
27600.00, -27600.00, 552.78, -586.44
